,length,ragged_substring_match,ragged_f1,ragged_rougel_f1,ragged_rougel_p,ragged_rougel_r,dataset,model,retriever,condition,num_preds,qampari_prec_mean,qampari_prec_std,qampari_rec_mean,qampari_rec_std,qampari_rec_top5_mean,qampari_rec_top5_std,qampari_f1_mean,qampari_f1_std,qampari_f1_top5_mean,qampari_f1_top5_std,citation_rec_mean,citation_rec_std,citation_prec_mean,citation_prec_std,num_sent_mean,unattributed_sents_mean,citations_oor,qampari_prec,qampari_rec,qampari_rec_top5,qampari_f1,qampari_f1_top5,citation_rec,citation_prec
0,46.756432851603805,0.4307,0.0901,0.0865,0.5397,0.051,nq,Mistral,bge-base,1,,,,,,,,,,,,,,,,,,,,,,,,,
1,53.60133944307367,0.4427,0.0804,0.0772,0.5409,0.0451,nq,Mistral,bge-base,2,,,,,,,,,,,,,,,,,,,,,,,,,
2,58.73563623545999,0.4818,0.076,0.0736,0.5757,0.0423,nq,Mistral,bge-base,3,,,,,,,,,,,,,,,,,,,,,,,,,
3,61.09587592527318,0.5111,0.0784,0.0753,0.5987,0.0433,nq,Mistral,bge-base,4,,,,,,,,,,,,,,,,,,,,,,,,,
4,63.946774762072614,0.5284,0.0765,0.0737,0.6214,0.0419,nq,Mistral,bge-base,5,,,,,,,,,,,,,,,,,,,,,,,,,
5,69.65526965103983,0.5904,0.0783,0.074,0.6705,0.0419,nq,Mistral,bge-base,10,,,,,,,,,,,,,,,,,,,,,,,,,
6,73.35918223475502,0.6352,0.077,0.0728,0.7077,0.0407,nq,Mistral,bge-base,20,,,,,,,,,,,,,,,,,,,,,,,,,
7,49.82093761015157,0.527,0.1002,0.0949,0.6123,0.056,nq,Mistral,colbert,1,,,,,,,,,,,,,,,,,,,,,,,,,
8,60.442721184349665,0.5886,0.0876,0.0821,0.6641,0.0468,nq,Mistral,colbert,2,,,,,,,,,,,,,,,,,,,,,,,,,
9,63.86394078251674,0.6165,0.0873,0.0821,0.6898,0.0469,nq,Mistral,colbert,3,,,,,,,,,,,,,,,,,,,,,,,,,
10,66.67818117729996,0.6302,0.0853,0.0802,0.7042,0.0456,nq,Mistral,colbert,4,,,,,,,,,,,,,,,,,,,,,,,,,
11,67.6270708494889,0.6412,0.0859,0.0809,0.7172,0.0459,nq,Mistral,colbert,5,,,,,,,,,,,,,,,,,,,,,,,,,
12,70.86394078251675,0.6683,0.0839,0.0785,0.7286,0.0443,nq,Mistral,colbert,10,,,,,,,,,,,,,,,,,,,,,,,,,
13,71.20479379626366,0.668,0.0845,0.0798,0.7369,0.045,nq,Mistral,colbert,20,,,,,,,,,,,,,,,,,,,,,,,,,
14,76.85689108212901,0.6651,0.0857,0.0801,0.7334,0.0456,nq,Mistral,colbert,100,,,,,,,,,,,,,,,,,,,,,,,,,
15,60.75255551639055,0.8615,0.1215,0.1126,0.8905,0.0647,nq,Mistral,,gold,,,,,,,,,,,,,,,,,,,,,,,,,
16,58.57983785689108,0.4688,0.0695,0.0658,0.5663,0.0372,nq,Mistral,,no-context,,,,,,,,,,,,,,,,,,,,,,,,,
17,10.023,,,,,,qampari,Llama,bge-base,1,4.141,16.45815276227041,29.053794906700038,7.953897790249816,16.133776353425798,13.98,25.599992187498806,9.4006034588855,17.500966668730726,13.744622599794427,23.752360015695604,40.38333333333333,48.68855386821196,38.765952380952385,47.94124895081186,1.049,0.046,0.0,,,,,,,
18,11.843,,,,,,qampari,Llama,bge-base,2,4.775,15.812151875901874,26.33601029960468,8.306578343953973,16.42991270833445,14.7,25.634156900510693,9.62384263308179,17.221072346930704,14.086947475812801,23.285781113092455,43.21666666666666,48.91986360933108,31.966666666666665,41.145325102346405,1.062,0.043,0.0,,,,,,,
19,11.243,,,,,,qampari,Llama,bge-base,3,4.398,17.35255826775563,28.266841858738864,7.9946523785881505,15.787713706145434,14.06,24.50135506456735,9.630518737167645,17.2685220796947,14.360695418663873,23.46232371129771,55.565565565565564,48.899181166022565,38.268268268268265,39.436847295191384,1.0610610610610611,0.04804804804804805,0.0,,,,,,,
20,11.857,,,,,,qampari,Llama,bge-base,4,4.56,17.838578431372554,27.56238906942353,8.925821339834595,16.245695737946182,15.7,25.30434745256237,10.46251483799936,17.298983991192117,15.55682953590882,23.72528842261091,33.09761904761905,46.49404412885356,22.763333333333332,36.05678530688317,1.058,0.099,0.0,,,,,,,
21,12.262,,,,,,qampari,Llama,bge-base,5,4.737,17.560487845487845,27.84072921367497,8.841938038019888,16.475788522439775,15.68,25.576113856487265,10.525676035205695,17.860286159599497,15.509863387495663,24.151029255290908,22.644600468070877,41.30564914347418,16.584754262788366,32.67992961193299,1.0471414242728185,0.13239719157472418,0.0,,,,,,,
